"Space","Folder","List","Record Type","Epic ID","Feature ID","Task ID","Parent Task ID","Task Name","Description","Status","Priority","Area","Sprint","Release","Story Points","Dependencies","Spec Source","Acceptance Criteria","Tags"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Task","E01","F01.2","T01.2.1","F01.2","Create apps/mobile skeleton","Add Expo app, TypeScript entrypoint, and base navigation placeholder.","Backlog","P0","Mobile","Sprint 1","Release 0","3","F01.1","doc/specs/wl-sales-academy/wiki/04-TECHNICAL-WIKI.md","Expo app runs locally.","mobile"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Task","E01","F01.2","T01.2.2","F01.2","Add mobile environment handling","Add API base URL and environment examples.","Backlog","P0","Mobile, DevOps","Sprint 1","Release 0","2","T01.2.1","doc/wiki/Installation.md","Mobile app can target local backend.","mobile,env"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E01","F01.3","F01.3","E01","React webapp","Scaffold React webapp for admin and manager surfaces.","Backlog","P0","Webapp","Sprint 1","Release 0","3","F01.1","doc/wiki/Architecture.md","Webapp starts locally and renders shell.","webapp"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E01","F01.4","F01.4","E01","FastAPI backend","Scaffold backend with health route, API router, and config.","Backlog","P0","Backend","Sprint 1","Release 0","5","","doc/wiki/Architecture.md","Backend starts and exposes health endpoint.","backend"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E01","F01.5","F01.5","E01","Shared packages","Create shared domain, API client, and design token package shells.","Backlog","P0","Domain, DevOps","Sprint 1","Release 0","5","F01.1","doc/specs/wl-sales-academy/01-SRS.md","Apps can import shared package types.","architecture,domain"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E01","F01.6","F01.6","E01","CI base checks","Add initial checks for typecheck, lint, and backend tests.","Backlog","P0","DevOps, QA","Sprint 1","Release 0","5","F01.1,F01.4","doc/specs/wl-sales-academy/11-QA-TEST-MATRICES.md","CI runs on pull requests.","ci,qa"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Epic","E02","","E02","","Shared Domain and Business Rules","Implement central product rules used by backend, mobile, and web.","Backlog","P0","Domain, Backend, QA","Sprint 2","Release 0","21","","doc/specs/wl-sales-academy/03-BUSINESS-RULES.md","Business rules are centralized and tested.","domain"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E02","F02.1","F02.1","E02","Canonical Blueprint model","Implement official 11-step Blueprint seed and ordering helpers.","Backlog","P0","Domain, Data","Sprint 2","Release 0","5","","doc/specs/wl-sales-academy/03-BUSINESS-RULES.md","Steps always appear in official order.","blueprint,domain"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Task","E02","F02.1","T02.1.1","F02.1","Create Blueprint seed data","Add IDs, step numbers, titles, descriptions, and certification flags.","Backlog","P0","Domain, Data","Sprint 2","Release 0","2","","doc/specs/wl-sales-academy/06-DATA-MODEL.md","Seed includes all 11 canonical steps.","blueprint"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Task","E02","F02.1","T02.1.2","F02.1","Test Blueprint order","Add tests preventing sub-lessons from becoming top-level steps.","Backlog","P0","QA, Domain","Sprint 2","Release 0","2","T02.1.1","doc/specs/wl-sales-academy/11-QA-TEST-MATRICES.md","Test fails if order or count changes incorrectly.","blueprint,qa"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E02","F02.2","F02.2","E02","Roles and permissions model","Define allowed roles, scopes, and permission checks.","Backlog","P0","Domain, Security/Compliance","Sprint 2","Release 0","5","","doc/specs/wl-sales-academy/03-BUSINESS-RULES.md","Roles match specs and scope can be evaluated.","rbac,security"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E02","F02.3","F02.3","E02","Content classification","Implement content sensitivity and official status taxonomy.","Backlog","P0","Domain, Security/Compliance","Sprint 2","Release 0","3","","doc/specs/wl-sales-academy/10-SECURITY-COMPLIANCE.md","Content has classification metadata.","compliance,content"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E02","F02.4","F02.4","E02","GoalSheet validation and metrics","Implement required fields, allowed values, closing rate, VPG, and volume calculations.","Backlog","P0","Domain, QA","Sprint 2","Release 0","5","","doc/specs/wl-sales-academy/03-BUSINESS-RULES.md","Metrics avoid division by zero and validations match specs.","goalsheet,domain"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E02","F02.5","F02.5","E02","Training progress rules","Implement deterministic progress states and completion sources.","Backlog","P1","Domain, Backend","Sprint 2","Release 1","3","F02.1","doc/specs/wl-sales-academy/03-BUSINESS-RULES.md","Progress can be computed from completion records.","progress"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E02","F02.6","F02.6","E02","Certification readiness rules","Implement readiness contract for modules, quizzes, roleplays, and manager approval.","Backlog","P1","Domain, Backend, QA","Sprint 7","Release 3","5","F02.5","doc/specs/wl-sales-academy/03-BUSINESS-RULES.md","Incomplete reps cannot be certified.","certification"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Epic","E03","","E03","","Design System and Shared UI","Build premium dark black-and-gold UI system for mobile and web.","Backlog","P0","UX/UI, Mobile, Webapp","Sprint 2","Release 0","21","","doc/specs/wl-sales-academy/08-UX-DESIGN-SPEC.md","Core screens use shared design language.","design,ui"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E03","F03.1","F03.1","E03","Design tokens","Create color, type, spacing, radius, and elevation tokens.","Backlog","P0","UX/UI","Sprint 2","Release 0","3","","doc/design/vcsa_sovereign_dark/DESIGN.md","Tokens match approved dark premium style.","design,tokens"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E03","F03.2","F03.2","E03","Mobile app shell","Create safe-area-aware shell with dark background and bottom nav slot.","Backlog","P0","Mobile, UX/UI","Sprint 2","Release 0","5","F03.1","doc/specs/wl-sales-academy/08-UX-DESIGN-SPEC.md","Shell works on phone sizes and avoids CTA overlap.","mobile,ui"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E03","F03.3","F03.3","E03","Core UI components","Build CTA button, glass card, status badge, input, tile, header, and metric component.","Backlog","P0","UX/UI, Mobile, Webapp","Sprint 2","Release 0","8","F03.1","doc/specs/wl-sales-academy/08-UX-DESIGN-SPEC.md","Components have accessible labels and stable responsive layout.","ui,accessibility"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E03","F03.4","F03.4","E03","Smart Agent eye motif","Create reusable visual motif for welcome, intro, home, and GoalSheet insight.","Backlog","P1","UX/UI, Mobile","Sprint 3","Release 1","3","F03.1","doc/specs/wl-sales-academy/08-UX-DESIGN-SPEC.md","Motif renders consistently without hurting performance.","smart-agent,design"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E03","F03.5","F03.5","E03","State components","Create loading, empty, error, retry, and unauthorized states.","Backlog","P0","UX/UI, Mobile, Webapp","Sprint 3","Release 1","3","F03.3","doc/specs/wl-sales-academy/08-UX-DESIGN-SPEC.md","Data-driven screens have required states.","ui,qa"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E03","F03.6","F03.6","E03","Accessibility baseline","Define touch targets, contrast, labels, and keyboard support requirements.","Backlog","P0","UX/UI, QA","Sprint 3","Release 1","2","F03.3","doc/specs/wl-sales-academy/08-UX-DESIGN-SPEC.md","Buttons and inputs pass baseline accessibility review.","accessibility"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Epic","E04","","E04","","Authentication Session and RBAC","Implement login, session restore, current user, role-aware UI, and server checks.","Backlog","P0","Backend, Mobile, Webapp, Security/Compliance","Sprint 3","Release 1","21","","doc/specs/wl-sales-academy/01-SRS.md","Protected routes require auth and roles.","auth,rbac"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E04","F04.1","F04.1","E04","Login and session restore","Implement login flow and mobile session restoration.","Backlog","P0","Backend, Mobile","Sprint 3","Release 1","5","","doc/specs/wl-sales-academy/01-SRS.md","Authenticated users can restore session on app launch.","auth,mobile"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E04","F04.2","F04.2","E04","Current user endpoint","Implement `/api/mobile/me` with roles and scoped permissions.","Backlog","P0","Backend","Sprint 3","Release 1","3","F04.1","doc/specs/wl-sales-academy/07-API-SPEC.md","Endpoint returns current user, roles, and permissions.","api,auth"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E04","F04.3","F04.3","E04","Role-aware navigation","Route users to allowed mobile/web surfaces based on role.","Backlog","P0","Mobile, Webapp","Sprint 3","Release 1","5","F04.2","doc/specs/wl-sales-academy/03-BUSINESS-RULES.md","Reps cannot see admin-only navigation.","rbac,ui"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E04","F04.4","F04.4","E04","Server-side authorization helpers","Create reusable backend guards for auth, role, and scope.","Backlog","P0","Backend, Security/Compliance","Sprint 3","Release 1","5","F02.2","doc/specs/wl-sales-academy/03-BUSINESS-RULES.md","Protected routes validate role server-side.","security,backend"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E04","F04.5","F04.5","E04","Team/org scope enforcement","Filter team-scoped queries by authorized scope.","Backlog","P1","Backend, Security/Compliance","Sprint 7","Release 3","5","F04.4","doc/specs/wl-sales-academy/03-BUSINESS-RULES.md","Manager cannot read out-of-scope users.","security,scope"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E04","F04.6","F04.6","E04","Sensitive material access checks","Block unauthorized sensitive/pricing/legal resources before returning metadata or URLs.","Backlog","P0","Backend, Security/Compliance","Sprint 5","Release 2","5","F02.3,F04.4","doc/specs/wl-sales-academy/10-SECURITY-COMPLIANCE.md","Unauthorized sensitive content is hidden or blocked.","security,compliance"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Epic","E05","","E05","","Rep Mobile MVP Experience","Build the primary sales rep mobile experience.","Backlog","P0","Mobile, UX/UI, Product","Sprint 3-5","Release 1","34","","doc/specs/wl-sales-academy/02-PRD.md","Rep can use daily core workflows.","mobile,mvp"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E05","F05.1","F05.1","E05","Welcome / Onboarding","Build premium first-run entry screen with CTA and account path.","Backlog","P0","Mobile, UX/UI","Sprint 3","Release 1","3","F03.2","doc/specs/wl-sales-academy/08-UX-DESIGN-SPEC.md","User can enter Sales Academy or access existing account.","onboarding,mobile"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E05","F05.2","F05.2","E05","Smart Agent Introduction","Build Smart Agent intro screen with benefits and get started CTA.","Backlog","P0","Mobile, UX/UI","Sprint 3","Release 1","3","F05.1,F03.4","doc/specs/wl-sales-academy/02-PRD.md","User understands Smart Agent value and can continue.","smart-agent,mobile"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E05","F05.3","F05.3","E05","Home Dashboard","Build daily hub with greeting, Smart Agent card, prompt chips, progress, and quick access.","Backlog","P0","Mobile, Backend","Sprint 4","Release 1","8","F04.2,F03.3","doc/specs/wl-sales-academy/02-PRD.md","Dashboard reflects API data and has loading/error states.","dashboard,mobile"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E05","F05.4","F05.4","E05","Top Producer Roadmap","Build ordered Blueprint roadmap with statuses and today focus.","Backlog","P0","Mobile, Domain","Sprint 4","Release 1","5","F02.1","doc/specs/wl-sales-academy/01-SRS.md","All 11 steps appear in canonical order with distinct states.","blueprint,mobile"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E05","F05.5","F05.5","E05","Blueprint Step Detail","Build detail screen with media cards, script, audio, context, compliance note, and Run Step CTA.","Backlog","P0","Mobile, Backend","Sprint 4","Release 1","5","F05.4","doc/specs/wl-sales-academy/01-SRS.md","Step detail content is permission-filtered and labeled correctly.","blueprint,mobile"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E05","F05.6","F05.6","E05","Roleplay Live","Build simulated live roleplay screen with scenario, coach/rep tiles, controls, and tip card.","Backlog","P0","Mobile, AI","Sprint 5","Release 1","5","F03.3","doc/specs/wl-sales-academy/02-PRD.md","Roleplay can be associated with a Blueprint step.","roleplay,mobile"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E05","F05.7","F05.7","E05","Smart GoalSheet","Build daily performance form with tours, sales, metrics, follow-ups, notes, insight, and save CTA.","Backlog","P0","Mobile, Domain, Backend","Sprint 5","Release 1","8","F02.4","doc/specs/wl-sales-academy/02-PRD.md","Rep can enter valid daily performance data.","goalsheet,mobile"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E05","F05.8","F05.8","E05","Resource Library","Build searchable resource list with filters and permission-aware access state.","Backlog","P1","Mobile, Backend, Security/Compliance","Sprint 5","Release 2","5","F04.6","doc/specs/wl-sales-academy/01-SRS.md","Restricted resources are hidden or blocked.","resources,mobile"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E05","F05.9","F05.9","E05","Support route","Build support/help route for app users.","Backlog","P2","Mobile, Product","Sprint 8","Release 3","2","","doc/specs/wl-sales-academy/08-UX-DESIGN-SPEC.md","Rep can access support route from bottom navigation.","support"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Epic","E06","","E06","","Backend APIs and Persistence","Persist core academy, progress, GoalSheet, roleplay, and resource data.","Backlog","P0","Backend, Data, QA","Sprint 4-5","Release 2","34","","doc/specs/wl-sales-academy/07-API-SPEC.md","Mobile screens use real API responses.","backend,api"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E06","F06.1","F06.1","E06","Mobile dashboard API","Implement `/api/dashboard/rep`.","Backlog","P0","Backend","Sprint 4","Release 1","5","F04.2","doc/specs/wl-sales-academy/07-API-SPEC.md","API returns certification, progress, next lesson, roleplay, and feedback summary.","api,dashboard"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E06","F06.2","F06.2","E06","Blueprint APIs","Implement list, detail, and complete endpoints for Blueprint steps.","Backlog","P0","Backend, Data","Sprint 4","Release 1","8","F02.1,F04.4","doc/specs/wl-sales-academy/07-API-SPEC.md","Endpoints enforce auth and return canonical order.","api,blueprint"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E06","F06.3","F06.3","E06","GoalSheet APIs","Implement today, save, history, and metrics endpoints.","Backlog","P0","Backend, Data","Sprint 5","Release 2","8","F02.4,F04.4","doc/specs/wl-sales-academy/07-API-SPEC.md","GoalSheet persists and validates required fields.","api,goalsheet"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E06","F06.4","F06.4","E06","Roleplay APIs","Implement scenarios, sessions, session complete, submissions, pending, and review endpoints.","Backlog","P1","Backend, Data","Sprint 5-7","Release 2","8","F04.4","doc/specs/wl-sales-academy/07-API-SPEC.md","Roleplay submissions can be reviewed by authorized users.","api,roleplay"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E06","F06.5","F06.5","E06","Resource APIs","Implement resource list/detail with filters and sensitive access audit.","Backlog","P1","Backend, Security/Compliance","Sprint 5","Release 2","5","F04.6","doc/specs/wl-sales-academy/07-API-SPEC.md","Sensitive access creates audit log.","api,resources"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E06","F06.6","F06.6","E06","Course/content APIs","Implement course and module detail endpoints plus admin content creation contract.","Backlog","P1","Backend","Sprint 8","Release 3","5","F09.2","doc/specs/wl-sales-academy/07-API-SPEC.md","Content APIs include classification metadata.","api,content"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E06","F06.7","F06.7","E06","Audit logging","Create audit events for sensitive access, role changes, certifications, content updates, and score submissions.","Backlog","P0","Backend, Security/Compliance","Sprint 5","Release 2","5","F04.4","doc/specs/wl-sales-academy/10-SECURITY-COMPLIANCE.md","Critical actions produce audit events.","audit,security"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E06","F06.8","F06.8","E06","Seed data and indexes","Create initial database seeds and indexes for users, roles, Blueprint, GoalSheet, resources, and progress.","Backlog","P0","Data, Backend","Sprint 4","Release 1","5","F02.1","doc/specs/wl-sales-academy/06-DATA-MODEL.md","Seed scripts are repeatable and indexes match specs.","data,seed"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Epic","E07","","E07","","Smart Agent and AI Guardrails","Implement AI coach with compliant behavior and permission-aware retrieval.","Backlog","P1","AI, Backend, Security/Compliance, QA","Sprint 6","Release 2","34","","doc/specs/wl-sales-academy/09-SMART-AGENT-SPEC.md","Smart Agent answers safe questions and blocks unsafe requests.","ai,smart-agent"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E07","F07.1","F07.1","E07","Smart Agent chat endpoint","Implement `/api/smart-agent/chat`.","Backlog","P1","AI, Backend","Sprint 6","Release 2","8","F04.4","doc/specs/wl-sales-academy/07-API-SPEC.md","Endpoint returns response, citations, and recommended actions.","ai,api"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E07","F07.2","F07.2","E07","Prompt and mode system","Define modes for general coach, blueprint step, roleplay, goalsheet, resource search, manager assist, admin assist.","Backlog","P1","AI","Sprint 6","Release 2","5","F07.1","doc/specs/wl-sales-academy/09-SMART-AGENT-SPEC.md","Modes receive proper context payload.","ai,prompt"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E07","F07.3","F07.3","E07","Knowledge retrieval","Retrieve official materials, Blueprint modules, compliance notes, scripts, and resources with permission checks.","Backlog","P1","AI, Backend, Security/Compliance","Sprint 6","Release 2","8","F04.6,F06.5","doc/specs/wl-sales-academy/09-SMART-AGENT-SPEC.md","Unauthorized sensitive knowledge is not retrieved.","ai,retrieval"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E07","F07.4","F07.4","E07","GoalSheet insight endpoint","Implement `/api/smart-agent/insights/goalsheet`.","Backlog","P1","AI, Backend","Sprint 6","Release 2","5","F06.3","doc/specs/wl-sales-academy/09-SMART-AGENT-SPEC.md","Insight includes summary, reinforcement, improvement focus, and action.","ai,goalsheet"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E07","F07.5","F07.5","E07","Roleplay feedback support","Generate coaching feedback and score dimensions for roleplay sessions.","Backlog","P2","AI, Backend","Sprint 7","Release 3","5","F06.4","doc/specs/wl-sales-academy/09-SMART-AGENT-SPEC.md","AI feedback is labeled as coaching and does not override manager certification.","ai,roleplay"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E07","F07.6","F07.6","E07","Compliance refusals and redirects","Block requests to hide fees, invent pricing, expose private data, or create deceptive wording.","Backlog","P0","AI, Security/Compliance, QA","Sprint 6","Release 2","5","F07.2","doc/specs/wl-sales-academy/09-SMART-AGENT-SPEC.md","Unsafe prompts are refused or redirected safely.","ai,compliance"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E07","F07.7","F07.7","E07","AI audit events","Log prompt metadata, modes, knowledge IDs, sensitive requests, and blocked response reasons.","Backlog","P1","AI, Backend, Security/Compliance","Sprint 6","Release 2","3","F06.7","doc/specs/wl-sales-academy/09-SMART-AGENT-SPEC.md","AI interactions generate audit records where required.","ai,audit"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E07","F07.8","F07.8","E07","AI evaluation tests","Add tests for unsafe prompts and expected safe behavior.","Backlog","P0","AI, QA","Sprint 6","Release 2","5","F07.6","doc/specs/wl-sales-academy/09-SMART-AGENT-SPEC.md","Evaluation prompts pass expected outcomes.","ai,qa"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Epic","E08","","E08","","Trainer and Manager Workflows","Enable review, feedback, team visibility, and certification approvals.","Backlog","P1","Webapp, Backend, Mobile, Product","Sprint 7","Release 3","34","","doc/specs/wl-sales-academy/04-USE-CASES.md","Manager can review and certify reps in scope.","manager,trainer"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E08","F08.1","F08.1","E08","Pending roleplay reviews","Build pending submissions queue for trainer/manager users.","Backlog","P1","Webapp, Backend","Sprint 7","Release 3","5","F06.4,F04.5","doc/specs/wl-sales-academy/07-API-SPEC.md","Queue only shows scoped submissions.","manager,review"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E08","F08.2","F08.2","E08","Rubric scoring","Build rubric scoring UI and backend validation.","Backlog","P1","Webapp, Backend","Sprint 7","Release 3","5","F08.1","doc/specs/wl-sales-academy/06-DATA-MODEL.md","Reviewer can score criteria and total is stored.","rubric"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E08","F08.3","F08.3","E08","Written feedback","Allow trainers/managers to submit feedback and recommendations.","Backlog","P1","Webapp, Backend","Sprint 7","Release 3","3","F08.2","doc/specs/wl-sales-academy/04-USE-CASES.md","Feedback history is preserved.","feedback"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E08","F08.4","F08.4","E08","Team dashboard","Build team progress, readiness, weak steps, and review backlog dashboard.","Backlog","P1","Webapp, Backend","Sprint 7","Release 3","8","F04.5,F06.1","doc/specs/wl-sales-academy/07-API-SPEC.md","Manager sees only authorized team metrics.","manager,dashboard"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E08","F08.5","F08.5","E08","Certification readiness","Compute and expose readiness based on required modules, quizzes, roleplays, and approvals.","Backlog","P1","Backend, Domain","Sprint 7","Release 3","5","F02.6","doc/specs/wl-sales-academy/03-BUSINESS-RULES.md","Only complete reps become ready for review.","certification"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E08","F08.6","F08.6","E08","Certification approve/deny","Allow scoped manager/trainer approval or denial with notes and audit event.","Backlog","P1","Webapp, Backend, Security/Compliance","Sprint 7","Release 3","5","F08.5,F06.7","doc/specs/wl-sales-academy/07-API-SPEC.md","Approval actions are auditable.","certification,audit"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E08","F08.7","F08.7","E08","Rep feedback visibility","Show reviewed feedback to the rep in mobile dashboard or feedback screen.","Backlog","P1","Mobile, Backend","Sprint 7","Release 3","3","F08.3","doc/specs/wl-sales-academy/01-SRS.md","Rep can see feedback after review.","feedback,mobile"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Epic","E09","","E09","","Admin and Content Management","Build operational admin tools for users, content, resources, access, and audit.","Backlog","P1","Webapp, Backend, Security/Compliance","Sprint 8","Release 3","34","","doc/specs/wl-sales-academy/01-SRS.md","Admin can manage academy content and sensitive access.","admin"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E09","F09.1","F09.1","E09","User and role management","Build admin user list, role assignment, and role change audit.","Backlog","P1","Webapp, Backend, Security/Compliance","Sprint 8","Release 3","8","F04.4,F06.7","doc/specs/wl-sales-academy/10-SECURITY-COMPLIANCE.md","Role changes are authorized and audited.","admin,rbac"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E09","F09.2","F09.2","E09","Course/module/lesson CRUD","Build content management for courses, modules, lessons, scripts, quizzes, and rubrics.","Backlog","P1","Webapp, Backend","Sprint 8","Release 3","8","F06.6","doc/specs/wl-sales-academy/01-SRS.md","Content can be created, updated, archived, and permissioned.","admin,content"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E09","F09.3","F09.3","E09","Resource management","Build admin management for documents, videos, audio, scripts, checklists, worksheets, and policies.","Backlog","P1","Webapp, Backend","Sprint 8","Release 3","5","F06.5","doc/specs/wl-sales-academy/06-DATA-MODEL.md","Resources include type, step, tags, sensitivity, and published state.","admin,resources"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E09","F09.4","F09.4","E09","Content classification controls","Require classification and sensitivity metadata for content.","Backlog","P0","Webapp, Backend, Security/Compliance","Sprint 8","Release 3","3","F02.3","doc/specs/wl-sales-academy/10-SECURITY-COMPLIANCE.md","Sensitive and pricing/fee content cannot be published without required labels.","compliance,content"
